"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2"
"06/12/2019 12:56:48:685 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"5","16","50","512","0.01","20","true","community","1","21","0","true","70","14","496","0","2","no trust","5120","0.5874667040123275","1276762","2793","70"
"2","16","50","512","0.01","20","true","community","1","21","0","true","75","13","499","0","0","no trust","5120","0.6004330037837907","1400993","2081","75"
"8","16","50","512","0.01","20","true","community","1","21","0","true","83","16","496","0","0","no trust","5120","0.6107631914647136","1416441","1331","83"
"4","16","50","512","0.01","20","true","community","1","21","0","true","91","22","490","0","0","no trust","5120","0.6016482791413147","1348760","885","91"
"3","16","50","512","0.01","20","true","community","1","21","0","true","93","11","501","0","0","no trust","5120","0.603347634835794","1322075","589","93"
"6","16","50","512","0.01","20","true","community","1","21","0","true","94","19","493","0","0","no trust","5120","0.6007833326468116","1336248","661","94"
"7","16","50","512","0.01","20","true","community","1","21","0","true","96","14","498","0","0","no trust","5120","0.6034984872658653","1238833","681","96"
"1","16","50","512","0.01","20","true","community","1","21","0","true","108","17","494","0","1","no trust","5120","0.6021404945476112","1547438","546","108"
"10","16","50","512","0.01","20","true","community","1","24","0","true","64","11","500","0","1","no trust","5120","0.5978232788454061","1825592","5071","64"
"9","16","50","512","0.01","20","true","community","1","24","0","true","74","18","493","0","1","no trust","5120","0.6011108784414728","1709774","2864","74"
"11","16","50","512","0.01","20","true","community","1","24","0","true","80","22","490","0","0","no trust","5120","0.6003781981251348","1468574","1284","80"
"15","16","50","512","0.01","20","true","community","1","24","0","true","70","16","495","0","1","no trust","5120","0.6055027145526211","1664816","3256","70"
"13","16","50","512","0.01","20","true","community","1","24","0","true","77","15","496","0","1","no trust","5120","0.5993387996545352","1701484","2511","77"
"16","16","50","512","0.01","20","true","community","1","24","0","true","89","22","490","0","0","no trust","5120","0.6033667383906395","1231706","890","89"
"12","16","50","512","0.01","20","true","community","1","24","0","true","121","27","485","0","0","no trust","5120","0.6072064646455227","2254478","646","121"
"17","16","50","512","0.01","20","true","community","1","27","0","true","86","19","493","0","0","no trust","5120","0.6077381093684262","2109972","2090","86"
"21","16","50","512","0.01","20","true","community","1","27","0","true","105","36","476","0","0","no trust","5120","0.6068101469332895","2182825","933","105"
"22","16","50","512","0.01","20","true","community","1","27","0","true","124","15","495","0","2","no trust","5120","0.6050159982726577","2188426","1416","124"
"23","16","50","512","0.01","20","true","community","1","27","0","true","128","28","478","0","6","no trust","5120","0.6110146031208715","2931769","2016","128"
"20","16","50","512","0.01","20","true","community","1","27","0","true","266","29","483","0","0","no trust","5120","0.5976456755976726","3564156","36","266"
"27","16","50","512","0.01","20","true","community","1","30","0","true","156","20","492","0","0","no trust","5120","0.5992060374411686","3487830","1284","156"
"26","16","50","512","0.01","20","true","community","1","30","0","true","229","20","492","0","0","no trust","5120","0.6080640084236623","3571830","148","229"
"28","16","50","512","0.01","20","true","community","1","30","0","true","164","25","487","0","0","no trust","5120","0.60688703703635","4836170","270","164"
"30","16","50","512","0.01","20","true","community","1","30","0","true","196","27","485","0","0","no trust","5120","0.6015319811867182","5095500","579","196"
"31","16","50","512","0.01","20","true","community","1","30","0","true","183","24","488","0","0","no trust","5120","0.6094097344587043","3055420","344","183"
"32","16","50","512","0.01","20","true","community","1","30","0","true","162","15","497","0","0","no trust","5120","0.6042681667528867","4950230","599","162"
"18","16","50","512","0.01","20","true","community","1","27","0","true","839","254","0","258","0","only trust","5120","0.6072153862829764","111925325","367904","839"
"25","16","50","512","0.01","20","true","community","1","30","0","true","940","256","0","256","0","only trust","5120","0.6034518919133663","92306340","403381","940"
"33","16","50","512","0.01","20","true","community","1","33","0","true","436","24","488","0","0","no trust","5120","0.6062636393708445","7891927","73","436"
"24","16","50","512","0.01","20","true","community","1","27","0","true","1026","254","0","258","0","only trust","5120","0.6062172664993855","123524194","367075","1026"
"35","16","50","512","0.01","20","true","community","1","33","0","true","312","26","486","0","0","no trust","5120","0.6088261553525555","6545952","85","312"
"36","16","50","512","0.01","20","true","community","1","33","0","true","250","20","492","0","0","no trust","5120","0.6036591983964451","5555369","16","250"
"19","16","50","512","0.01","20","true","community","1","27","0","true","1372","254","0","258","0","only trust","5120","0.609935697926396","190057920","367835","1372"
"29","16","50","512","0.01","20","true","community","1","30","0","true","1042","254","0","258","0","only trust","5120","0.6058853147543775","139526570","410225","1042"
"14","16","50","512","0.01","20","true","community","1","24","0","true","1669","265","0","247","0","only trust","5120","0.6064378869591218","133299722","327604","1669"
"39","16","50","512","0.01","20","true","community","1","33","0","true","631","260","0","252","0","only trust","5120","0.5975569609835504","117255233","454538","631"
"38","16","50","512","0.01","20","true","community","1","33","0","true","810","254","0","258","0","only trust","5120","0.605614975788948","167536703","450387","810"
"37","16","50","512","0.01","20","true","community","1","33","0","true","880","248","0","264","0","only trust","5120","0.5978350363238435","119044135","453877","880"
"40","16","50","512","0.01","20","true","community","1","33","0","true","786","259","0","253","0","only trust","5120","0.5997365709374269","104445520","449172","786"
"41","16","50","512","0.01","20","true","community","1","36","0","true","766","249","0","263","0","only trust","5120","0.6057247423303321","116165258","490573","766"
"43","16","50","512","0.01","20","true","community","1","36","0","true","581","262","0","250","0","only trust","5120","0.5987292543449186","117407592","490116","581"
"47","16","50","512","0.01","20","true","community","1","36","0","true","634","36","476","0","0","no trust","5120","0.6030497585209653","16286166","-36","634"
"49","16","50","512","0.01","20","true","community","1","39","0","true","827","258","0","254","0","only trust","5120","0.6049172512290667","370960768","540152","827"
"50","16","50","512","0.01","20","true","community","1","39","0","true","870","260","0","252","0","only trust","5120","0.6043082893320353","318788607","539830","870"
"51","16","50","512","0.01","20","true","community","1","39","0","true","1289","256","0","256","0","only trust","5120","0.6006072720399889","593556669","534483","1289"
