"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2 aanvullingen"
"06/20/2019 15:15:56:389 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"6","16","50","512","1","8","true","community","1","21","0","true","83","25","482","0","5","no trust","2048","0.01572601405436881","1898805","3113","83"
"5","16","50","512","0.8","8","true","community","1","21","0","true","97","33","478","0","1","no trust","2048","0.01652457179513704","1324493","925","97"
"3","16","50","512","0.8","6","true","community","1","21","0","true","177","31","477","0","4","no trust","1536","0.014227515106421349","1708464","538","177"
"7","16","50","512","0.8","10","true","community","1","21","0","true","169","34","478","0","0","no trust","2560","0.02219134061753306","2411551","225","169"
"8","16","50","512","1","10","true","community","1","21","0","true","177","51","461","0","0","no trust","2560","0.020338542683532298","1814593","582","177"
"10","16","50","512","1","12","true","community","1","21","0","true","83","15","496","0","1","no trust","3072","0.023720348537583202","1265334","986","83"
"9","16","50","512","0.8","12","true","community","1","21","0","true","121","28","484","0","0","no trust","3072","0.02372198207200686","1290585","342","121"
"12","16","50","512","1","14","true","community","1","21","0","true","80","23","489","0","0","no trust","3584","0.02696716073948801","1235328","1739","80"
"11","16","50","512","0.8","14","true","community","1","21","0","true","88","21","489","0","2","no trust","3584","0.02486722511638197","1171793","1134","88"
"14","16","50","512","1","16","true","community","1","21","0","true","78","16","496","0","0","no trust","4096","0.03171423366047491","945651","933","78"
"13","16","50","512","0.8","16","true","community","1","21","0","true","112","40","472","0","0","no trust","4096","0.03297611204448746","1334076","506","112"
"18","16","50","512","1","20","true","community","1","21","0","true","72","15","497","0","0","no trust","5120","0.04013916234907672","1120487","1456","72"
"16","16","50","512","1","18","true","community","1","21","0","true","96","33","479","0","0","no trust","4608","0.034080984873091254","1405815","749","96"
"17","16","50","512","0.8","20","true","community","1","21","0","true","102","41","471","0","0","no trust","5120","0.041264193088389085","1502804","687","102"
"4","16","50","512","1","6","true","community","1","21","0","true","547","262","0","250","0","only trust","1536","0.00659196489274614","44264485","304720","547"
"21","16","50","512","0.8","6","true","community","1","24","0","true","376","251","0","261","0","only trust","1536","0.01057247873654123","49363034","348852","376"
"23","16","50","512","0.8","8","true","community","1","24","0","true","350","263","0","249","0","only trust","2048","0.01688394071206569","32213990","338824","350"
"15","16","50","512","0.8","18","true","community","1","21","0","true","584","256","0","256","0","only trust","4608","0.03561508514866467","27768272","293970","584"
"25","16","50","512","0.8","10","true","community","1","24","0","true","269","39","473","0","0","no trust","2560","0.019057635710898586","1880982","196","269"
"24","16","50","512","1","8","true","community","1","24","0","true","531","261","0","251","0","only trust","2048","0.01694994458666333","34567406","341188","531"
"26","16","50","512","1","10","true","community","1","24","0","true","405","252","0","260","0","only trust","2560","0.017983878476936707","28177254","327232","405"
"27","16","50","512","0.8","12","true","community","1","24","0","true","195","38","474","0","0","no trust","3072","0.02393277688272126","2369212","345","195"
"28","16","50","512","1","12","true","community","1","24","0","true","104","30","482","0","0","no trust","3072","0.02343528849165015","1774672","844","104"
"29","16","50","512","0.8","14","true","community","1","24","0","true","132","54","458","0","0","no trust","3584","0.025858056300244958","2214916","716","132"
"30","16","50","512","1","14","true","community","1","24","0","true","157","46","465","0","1","no trust","3584","0.02806055779519413","1768284","767","157"
"31","16","50","512","0.8","16","true","community","1","24","0","true","145","59","453","0","0","no trust","4096","0.033146687552030187","2643896","659","145"
"32","16","50","512","1","16","true","community","1","24","0","true","100","42","469","0","1","no trust","4096","0.03095865448191688","1698444","925","100"
"34","16","50","512","1","18","true","community","1","24","0","true","95","38","474","0","0","no trust","4608","0.03488680987152641","1634668","1169","95"
"35","16","50","512","0.8","20","true","community","1","24","0","true","125","43","469","0","0","no trust","5120","0.03855003612776216","2022828","497","125"
"36","16","50","512","1","20","true","community","1","24","0","true","79","34","476","0","2","no trust","5120","0.03861669402881742","1546772","2351","79"
"33","16","50","512","0.8","18","true","community","1","24","0","true","399","64","448","0","0","no trust","4608","0.03649524732233765","2934498","313","399"
"2","16","50","512","1","4","true","community","1","21","0","true","5000","242","0","263","7","","1024","0.00396515376984127","1271129774","282190","5000"
"1","16","50","512","0.8","4","true","community","1","21","0","true","5000","252","3","254","3","","1024","0.010852385461760462","1228125449","305292","5000"
"19","16","50","512","0.8","4","true","community","1","24","0","true","5000","266","3","240","3","","1024","0.005031860500610501","1466414016","319802","5000"
"20","16","50","512","1","4","true","community","1","24","0","true","5000","253","1","255","3","","1024","0.008252728174603173","1533025614","325809","5000"
"22","16","50","512","1","6","true","community","1","24","0","true","5000","64","447","1","0","","1536","0.01551627625846374","3279470","0","5000"
"42","16","50","512","1","8","true","community","1","27","0","true","360","273","0","239","0","only trust","2048","0.013633834762051662","39722030","384824","360"
"43","16","50","512","0.8","10","true","community","1","27","0","true","358","245","0","267","0","only trust","2560","0.01854277147941282","48520583","390534","358"
"41","16","50","512","0.8","8","true","community","1","27","0","true","1018","260","0","252","0","only trust","2048","0.019406124283192293","85552403","372608","1018"
"44","16","50","512","1","10","true","community","1","27","0","true","541","260","0","252","0","only trust","2560","0.020079671233103412","47930860","380761","541"
"45","16","50","512","0.8","12","true","community","1","27","0","true","547","247","0","265","0","only trust","3072","0.02410089441929009","23278898","352687","547"
"46","16","50","512","1","12","true","community","1","27","0","true","474","259","0","253","0","only trust","3072","0.024032602971321794","31155845","373157","474"
"47","16","50","512","0.8","14","true","community","1","27","0","true","166","43","469","0","0","no trust","3584","0.027180823447861026","2282106","381","166"
"51","16","50","512","0.8","18","true","community","1","27","0","true","87","31","479","0","2","no trust","4608","0.03485796144601085","2053753","2166","87"
"49","16","50","512","0.8","16","true","community","1","27","0","true","172","44","468","0","0","no trust","4096","0.03210557991053719","2311798","294","172"
"52","16","50","512","1","18","true","community","1","27","0","true","111","41","469","0","2","no trust","4608","0.03625277007060372","3099692","1783","111"
"53","16","50","512","0.8","20","true","community","1","27","0","true","176","57","455","0","0","no trust","5120","0.040054780084478186","3023019","301","176"
"37","16","50","512","0.8","4","true","community","1","27","0","true","5000","257","1","253","1","","1024","0.004851669597763348","1699650283","361947","5000"
"50","16","50","512","1","16","true","community","1","27","0","true","351","252","0","260","0","only trust","4096","0.03102060218694095","26904783","363249","351"
"54","16","50","512","1","20","true","community","1","27","0","true","130","49","461","0","2","no trust","5120","0.03779112561860438","2711184","1086","130"
"38","16","50","512","1","4","true","community","1","27","0","true","5000","268","2","241","1","","1024","0.005952380952380951","1735922449","374975","5000"
"40","16","50","512","1","6","true","community","1","27","0","true","1972","259","0","253","0","only trust","1536","0.013710161366411353","189452397","383004","1972"
"48","16","50","512","1","14","true","community","1","27","0","true","602","267","0","245","0","only trust","3584","0.027508878546494284","27704954","371163","602"
"61","16","50","512","0.8","10","true","community","1","30","0","true","392","249","0","263","0","only trust","2560","0.02125038969109451","31634520","413889","392"
"39","16","50","512","0.8","6","true","community","1","27","0","true","5000","10","501","1","0","","1536","0.01336485779845154","1661095","0","5000"
"63","16","50","512","0.8","12","true","community","1","30","0","true","277","255","0","257","0","only trust","3072","0.022567050002373943","26021910","394995","277"
"60","16","50","512","1","8","true","community","1","30","0","true","726","254","0","258","0","only trust","2048","0.01745011269367886","73253790","432328","726"
"64","16","50","512","1","12","true","community","1","30","0","true","321","261","0","251","0","only trust","3072","0.021886926177240827","27623430","408519","321"
"59","16","50","512","0.8","8","true","community","1","30","0","true","1290","259","0","253","0","only trust","2048","0.01844609423943788","140633030","405504","1290"
"67","16","50","512","0.8","16","true","community","1","30","0","true","518","255","0","257","0","only trust","4096","0.03232338449904194","32144670","406512","518"
"62","16","50","512","1","10","true","community","1","30","0","true","2600","0","0","176","336","no trust","2560","0.0209882453764577","146418650","2353","2600"
"69","16","50","512","0.8","18","true","community","1","30","0","true","538","264","0","248","0","only trust","4608","0.03387014522496321","40188950","406014","538"
