BehaviorSpace results (NetLogo 6.0.4),,,,,,,,,,,,,
Simulation fixed.nlogo,,,,,,,,,,,,,
mean-path-length,,,,,,,,,,,,,
06/13/2019 17:02:13:649 +0200,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-24,24,-24,24,,,,,,,,,,
[run number],n-of-communities,revision-frequency,n-of-nodes,prob-rewiring,avg-degree,always-connect-communities?,network-model,link-radius,Reward,noise,stop-when-done?,[step],mean-path-length
1,16,50,512,0.01,4,TRUE,community,1,21,0,TRUE,1,9.241667686
2,16,50,512,0.01,4,TRUE,community,1,21,0,TRUE,1,8.924802776
3,16,50,512,0.01,6,TRUE,community,1,21,0,TRUE,1,6.434832131
4,16,50,512,0.01,6,TRUE,community,1,21,0,TRUE,1,7.087237035
6,16,50,512,0.01,8,TRUE,community,1,21,0,TRUE,1,5.599957192
5,16,50,512,0.01,8,TRUE,community,1,21,0,TRUE,1,5.631895181
7,16,50,512,0.01,10,TRUE,community,1,21,0,TRUE,1,5.081113931
8,16,50,512,0.01,10,TRUE,community,1,21,0,TRUE,1,4.873616377
9,16,50,512,0.01,12,TRUE,community,1,21,0,TRUE,1,4.607601517
10,16,50,512,0.01,12,TRUE,community,1,21,0,TRUE,1,4.676767368
11,16,50,512,0.01,14,TRUE,community,1,21,0,TRUE,1,4.465432363
12,16,50,512,0.01,14,TRUE,community,1,21,0,TRUE,1,4.543771404
13,16,50,512,0.01,16,TRUE,community,1,21,0,TRUE,1,4.265074609
14,16,50,512,0.01,16,TRUE,community,1,21,0,TRUE,1,4.087657473
15,16,50,512,0.01,18,TRUE,community,1,21,0,TRUE,1,3.78374205
16,16,50,512,0.01,18,TRUE,community,1,21,0,TRUE,1,3.94661968
17,16,50,512,0.01,20,TRUE,community,1,21,0,TRUE,1,3.828958231
18,16,50,512,0.01,20,TRUE,community,1,21,0,TRUE,1,3.726631299
20,16,50,512,0.02,4,TRUE,community,1,21,0,TRUE,1,7.176813234
19,16,50,512,0.02,4,TRUE,community,1,21,0,TRUE,1,7.544008378
22,16,50,512,0.02,6,TRUE,community,1,21,0,TRUE,1,5.574363992
21,16,50,512,0.02,6,TRUE,community,1,21,0,TRUE,1,5.67475691
23,16,50,512,0.02,8,TRUE,community,1,21,0,TRUE,1,4.745680956
24,16,50,512,0.02,8,TRUE,community,1,21,0,TRUE,1,4.893048251
25,16,50,512,0.02,10,TRUE,community,1,21,0,TRUE,1,4.280776052
26,16,50,512,0.02,10,TRUE,community,1,21,0,TRUE,1,4.364267368
27,16,50,512,0.02,12,TRUE,community,1,21,0,TRUE,1,4.069662732
28,16,50,512,0.02,12,TRUE,community,1,21,0,TRUE,1,4.072078339
29,16,50,512,0.02,14,TRUE,community,1,21,0,TRUE,1,3.919673434
30,16,50,512,0.02,14,TRUE,community,1,21,0,TRUE,1,3.789674046
31,16,50,512,0.02,16,TRUE,community,1,21,0,TRUE,1,3.617707314
32,16,50,512,0.02,16,TRUE,community,1,21,0,TRUE,1,3.602739726
33,16,50,512,0.02,18,TRUE,community,1,21,0,TRUE,1,3.482181079
34,16,50,512,0.02,18,TRUE,community,1,21,0,TRUE,1,3.418205724
35,16,50,512,0.02,20,TRUE,community,1,21,0,TRUE,1,3.343016145
37,16,50,512,0.04,4,TRUE,community,1,21,0,TRUE,1,6.33372829
36,16,50,512,0.02,20,TRUE,community,1,21,0,TRUE,1,3.271358244
38,16,50,512,0.04,4,TRUE,community,1,21,0,TRUE,1,6.49088032
39,16,50,512,0.04,6,TRUE,community,1,21,0,TRUE,1,4.782526602
40,16,50,512,0.04,6,TRUE,community,1,21,0,TRUE,1,4.850882155
41,16,50,512,0.04,8,TRUE,community,1,21,0,TRUE,1,4.210004892
42,16,50,512,0.04,8,TRUE,community,1,21,0,TRUE,1,4.3089301
43,16,50,512,0.04,10,TRUE,community,1,21,0,TRUE,1,3.881887537
44,16,50,512,0.04,10,TRUE,community,1,21,0,TRUE,1,3.901143591
45,16,50,512,0.04,12,TRUE,community,1,21,0,TRUE,1,3.645547945
