"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"mean-path-length"
"06/13/2019 16:54:05:744 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","mean-path-length"
"1","16","50","512","0.01","4","true","community","1","21","0","true","1","10.009815313111545"
"2","16","50","512","0.01","4","true","community","1","21","0","true","1","8.931973153131116"
"4","16","50","512","0.01","6","true","community","1","21","0","true","1","6.350392918297456"
"3","16","50","512","0.01","6","true","community","1","21","0","true","1","6.593597113502935"
"6","16","50","512","0.01","8","true","community","1","21","0","true","1","5.300903559197652"
"5","16","50","512","0.01","8","true","community","1","21","0","true","1","5.414735200587084"
"8","16","50","512","0.01","10","true","community","1","21","0","true","1","5.151411142367906"
"7","16","50","512","0.01","10","true","community","1","21","0","true","1","5.082703950587084"
"9","16","50","512","0.01","12","true","community","1","21","0","true","1","4.870902641878669"
"10","16","50","512","0.01","12","true","community","1","21","0","true","1","4.705617049902153"
"11","16","50","512","0.01","14","true","community","1","21","0","true","1","4.309893285225049"
"12","16","50","512","0.01","14","true","community","1","21","0","true","1","4.241423067514677"
"14","16","50","512","0.01","16","true","community","1","21","0","true","1","4.172272504892368"
"13","16","50","512","0.01","16","true","community","1","21","0","true","1","4.091043909001957"
"15","16","50","512","0.01","18","true","community","1","21","0","true","1","3.9223642367906066"
"16","16","50","512","0.01","18","true","community","1","21","0","true","1","4.003256482387475"
"19","16","50","512","0.02","4","true","community","1","21","0","true","1","7.004043847847358"
"20","16","50","512","0.02","4","true","community","1","21","0","true","1","7.347151724559687"
"21","16","50","512","0.02","6","true","community","1","21","0","true","1","5.911272321428571"
"22","16","50","512","0.02","6","true","community","1","21","0","true","1","5.6491407778864975"
"23","16","50","512","0.02","8","true","community","1","21","0","true","1","4.7610154721135025"
"24","16","50","512","0.02","8","true","community","1","21","0","true","1","5.106447223581213"
"17","16","50","512","0.01","20","true","community","1","21","0","true","1","3.71974376223092"
"18","16","50","512","0.01","20","true","community","1","21","0","true","1","3.6979039261252447"
"25","16","50","512","0.02","10","true","community","1","21","0","true","1","4.270555589530333"
"26","16","50","512","0.02","10","true","community","1","21","0","true","1","4.244496086105675"
"27","16","50","512","0.02","12","true","community","1","21","0","true","1","4.0713827054794525"
"28","16","50","512","0.02","12","true","community","1","21","0","true","1","4.034430039138943"
"30","16","50","512","0.02","14","true","community","1","21","0","true","1","3.9074119373776908"
"29","16","50","512","0.02","14","true","community","1","21","0","true","1","3.7715875733855184"
"37","16","50","512","0.04","4","true","community","1","21","0","true","1","false"
"31","16","50","512","0.02","16","true","community","1","21","0","true","1","3.647841242661448"
"32","16","50","512","0.02","16","true","community","1","21","0","true","1","3.6344560298434443"
"33","16","50","512","0.02","18","true","community","1","21","0","true","1","3.342718016144814"
"38","16","50","512","0.04","4","true","community","1","21","0","true","1","6.5186139310176126"
"39","16","50","512","0.04","6","true","community","1","21","0","true","1","4.898689762720156"
"34","16","50","512","0.02","18","true","community","1","21","0","true","1","3.4608228351272015"
